2020-10-29 14:09:45.896 [restartedMain] INFO  program.tiger.sword.BootStrap - Starting BootStrap on TigerLees-computor.local with PID 95570 (/Users/lijh/IdeaProjects/program-all/sword-service/target/classes started by lijh in /Users/lijh/IdeaProjects/program-all)
2020-10-29 14:09:45.987 [restartedMain] INFO  program.tiger.sword.BootStrap - No active profile set, falling back to default profiles: default
2020-10-29 14:09:46.255 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2020-10-29 14:09:46.255 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2020-10-29 14:09:49.371 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2020-10-29 14:09:49.726 [restartedMain] INFO  o.s.boot.web.embedded.netty.NettyWebServer - Netty started on port(s): 9091
2020-10-29 14:09:49.767 [restartedMain] INFO  program.tiger.sword.BootStrap - Started BootStrap in 5.801 seconds (JVM running for 10.154)
2020-10-29 14:18:21.708 [restartedMain] INFO  program.tiger.sword.BootStrap - Starting BootStrap on TigerLees-computor.local with PID 99756 (/Users/lijh/IdeaProjects/program-all/sword-service/target/classes started by lijh in /Users/lijh/IdeaProjects/program-all)
2020-10-29 14:18:21.724 [restartedMain] INFO  program.tiger.sword.BootStrap - No active profile set, falling back to default profiles: default
2020-10-29 14:18:21.970 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2020-10-29 14:18:21.971 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2020-10-29 14:18:27.118 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2020-10-29 14:18:27.517 [restartedMain] INFO  o.s.boot.web.embedded.netty.NettyWebServer - Netty started on port(s): 9091
2020-10-29 14:18:27.561 [restartedMain] INFO  program.tiger.sword.BootStrap - Started BootStrap in 8.059 seconds (JVM running for 11.24)
2020-10-29 14:26:20.029 [restartedMain] INFO  program.tiger.sword.BootStrap - Starting BootStrap on TigerLees-computor.local with PID 3932 (/Users/lijh/IdeaProjects/program-all/sword-service/target/classes started by lijh in /Users/lijh/IdeaProjects/program-all)
2020-10-29 14:26:20.045 [restartedMain] INFO  program.tiger.sword.BootStrap - No active profile set, falling back to default profiles: default
2020-10-29 14:26:20.275 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2020-10-29 14:26:20.276 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2020-10-29 14:26:23.188 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
2020-10-29 14:26:23.484 [restartedMain] INFO  o.s.boot.web.embedded.netty.NettyWebServer - Netty started on port(s): 9091
2020-10-29 14:26:23.514 [restartedMain] INFO  program.tiger.sword.BootStrap - Started BootStrap in 4.816 seconds (JVM running for 6.855)
2020-10-29 14:33:39.467 [restartedMain] INFO  program.tiger.sword.BootStrap - Starting BootStrap on TigerLees-computor.local with PID 7518 (/Users/lijh/IdeaProjects/program-all/sword-service/target/classes started by lijh in /Users/lijh/IdeaProjects/program-all)
2020-10-29 14:33:39.485 [restartedMain] INFO  program.tiger.sword.BootStrap - No active profile set, falling back to default profiles: default
2020-10-29 14:33:39.621 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2020-10-29 14:33:39.622 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2020-10-29 14:33:43.092 [restartedMain] INFO  o.s.boot.web.embedded.netty.NettyWebServer - Netty started on port(s): 9091
2020-10-29 14:33:43.137 [restartedMain] INFO  program.tiger.sword.BootStrap - Started BootStrap in 4.999 seconds (JVM running for 7.351)
2020-10-29 14:37:17.283 [restartedMain] INFO  program.tiger.sword.BootStrap - Starting BootStrap on TigerLees-computor.local with PID 9306 (/Users/lijh/IdeaProjects/program-all/sword-service/target/classes started by lijh in /Users/lijh/IdeaProjects/program-all)
2020-10-29 14:37:17.307 [restartedMain] INFO  program.tiger.sword.BootStrap - No active profile set, falling back to default profiles: default
2020-10-29 14:37:17.586 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
